"time","outputs"
0.419,6.051631582098818 3.830595436639101 0.1699999999999996 0
0.42,6.048602860716086 3.829244991800355 0.1799999999999996 0
0.421,6.045837471320232 3.827888233719133 0.1899999999999996 0
0.422,6.043329626829318 3.826525148746577 0.1999999999999996 0
0.423,6.041073292229563 3.825155723243819 0.2099999999999996 0
0.424,6.039062190544615 3.823779943582004 0.2199999999999996 0
0.425,6.037289809043595 3.822397796142311 0.2299999999999996 0
0.426,6.035749405681798 3.821009267315973 0.2399999999999997 0
0.427,6.034434015767681 3.819614343504304 0.2499999999999997 0
0.427,6.034434015767681 3.819614343504304 0.2499999999999997 0
0.428,6.033336458849576 3.818213011118713 0.2599999999999997 0
0.429,6.032449345815317 3.81680525658073 0.2699999999999997 0
0.43,6.031765086197778 3.815391066322026 0.2799999999999997 0
0.431,6.031275895679117 3.813970426784437 0.2899999999999997 0
0.432,6.030973803786319 3.81254332441998 0.2999999999999997 0
0.433,6.030850661770438 3.811109745690881 0.3099999999999997 0
0.434,6.030898150661767 3.809669677069591 0.3199999999999997 0
0.435,6.031107789492987 3.80822310503881 0.3299999999999997 0
0.436,6.031470943682173 3.806770016091507 0.3399999999999997 0
0.437,6.031978833567396 3.805310396730945 0.3499999999999998 0
0.438,6.032622543084487 3.803844233470694 0.3599999999999998 0
0.439,6.0333930285794 3.802371512834664 0.3699999999999998 0
0.44,6.034281127746491 3.800892221357115 0.3799999999999998 0
0.441,6.035277568683871 3.799406345582685 0.3899999999999998 0
0.442,6.036372979056915 3.797913872066411 0.3999999999999998 0
0.443,6.037557895360865 3.796414787373747 0.4099999999999998 0
0.444,6.038822772273412 3.794909078080588 0.4199999999999998 0
0.445,6.040157992087998 3.793396730773288 0.4299999999999998 0
0.446,6.041553874218551 3.791877732048686 0.4399999999999998 0
0.447,6.043000684766259 3.790352068514123 0.4499999999999998 0
0.448,6.044488646138948 3.788819726787465 0.4599999999999999 0
0.449,6.046007946713572 3.787280693497125 0.4699999999999999 0
0.45,6.047548750532274 3.785734955282079 0.4799999999999999 0
0.451,6.049101207022458 3.784182498791896 0.4899999999999999 0
0.452,6.050655460731261 3.782623310686751 0.4999999999999999 0
0.453,6.052201661064845 3.781057377637449 0.5099999999999999 0
0.454,6.053729972022876 3.779484686325449 0.5199999999999999 0
0.455,6.055230581918591 3.777905223442878 0.5299999999999999 0
0.456,6.056693713074861 3.776318975692561 0.5399999999999999 0
0.457,6.058109631486675 3.774725929788032 0.5499999999999999 0
0.458,6.059468656440529 3.773126072453565 0.5599999999999999 0
0.459,6.060761170081193 3.771519390424188 0.57 0
0.46,6.061977626916445 3.769905870445706 0.58 0
0.461,6.06310856325038 3.768285499274721 0.59 0
0.462,6.064144606535987 3.766658263678657 0.6 0
0.463,6.065076484637751 3.765024150435776 0.61 0
0.464,6.065895034995166 3.7633831463352 0.62 0
0.465,6.066591213678092 3.761735238176934 0.63 0
0.466,6.067156104325025 3.760080412771885 0.64 0
0.467,6.067580926955466 3.758418656941882 0.65 0
0.468,6.067857046647686 3.756749957519702 0.66 0
0.469,6.067975982073325 3.755074301349083 0.67 0
0.47,6.067929413880405 3.753391675284748 0.68 0
0.471,6.067709192916472 3.751702066192431 0.6900000000000001 0
0.472,6.067307348283771 3.750005460948889 0.7000000000000001 0
0.473,6.06671609521849 3.748301846441928 0.7100000000000001 0
0.474,6.065927842786299 3.746591209570423 0.7200000000000001 0
0.475,6.064935201386596 3.744873537244339 0.7300000000000001 0
0.476,6.063730990058051 3.74314881638475 0.7400000000000001 0
0.477,6.062308243578228 3.74141703392386 0.7500000000000001 0
0.478,6.060660219350298 3.739678176805026 0.7600000000000001 0
0.479,6.058780404070037 3.737932231982774 0.7700000000000001 0
0.479,6.058780404070037 3.737932231982774 0.7700000000000001 0
0.48,6.056662520166515 3.736179186422826 0.7799999999999996 0
0.481,6.054300532010151 3.734419027102114 0.7899999999999996 0
0.482,6.051688651881981 3.732651741008806 0.7999999999999996 0
0.483,6.048821345698255 3.730877315142322 0.8099999999999996 0
0.484,6.045693338484723 3.729095736513357 0.8199999999999996 0
0.485,6.042299619595193 3.727306992143904 0.8299999999999996 0
0.486,6.038635447669224 3.725511069067269 0.8399999999999996 0
0.487,6.03469635532405 3.723707954328094 0.8499999999999996 0
0.488,6.030478153576113 3.721897634982378 0.8599999999999997 0
0.489,6.02597693598784 3.720080098097498 0.8699999999999997 0
0.49,6.021189082535563 3.718255330752227 0.8799999999999997 0
0.491,6.016111263194781 3.716423320036758 0.8899999999999997 0
0.492,6.010740441239211 3.714584053052721 0.8999999999999997 0
0.493,6.005073876250377 3.712737516913204 0.9099999999999997 0
0.494,5.999109126834771 3.710883698742774 0.9199999999999997 0
0.495,5.992844053045903 3.7090225856775 0.9299999999999997 0
0.496,5.986276818508838 3.707154164864967 0.9399999999999997 0
0.497,5.979405892245146 3.705278423464302 0.9499999999999997 0
0.498,5.972230050196441 3.703395348646191 0.9599999999999997 0
0.499,5.964748376445023 3.701504927592903 0.9699999999999998 0
0.5,5.956960264130402 3.699607147498304 0.9799999999999998 0
0.501,5.948865416060823 3.697701995567884 0.9899999999999998 0
0.502,5.940463845019153 3.695789459018773 0.9999999999999998 0
0.503,5.931755873762871 3.693869525079761 1.01 0
0.504,5.922742134718124 3.691942180991322 1.02 0
0.505,5.913423569368173 3.690007414005631 1.03 0
0.506,5.903801427336819 3.688065211386582 1.04 0
0.507,5.893877265167728 3.686115560409815 1.05 0
0.508,5.883652944800849 3.68415844836273 1.06 0
0.509,5.873130631747422 3.682193862544508 1.07 0
0.51,5.862312792965404 3.680221790266134 1.08 0
0.511,5.851202194437374 3.678242218850414 1.09 0
0.512,5.839801898453339 3.676255135631996 1.1 0
0.513,5.828115260601097 3.674260527957392 1.11 0
0.514,5.816145926467147 3.672258383184994 1.12 0
0.515,5.803897828051394 3.670248688685096 1.13 0
0.516,5.791375179899178 3.668231431839917 1.14 0
0.517,5.778582474954463 3.666206600043615 1.15 0
0.518,5.765524480138263 3.66417418070231 1.16 0
0.519,5.752206231656678 3.662134161234107 1.17 0
0.52,5.738633030043157 3.660086529069107 1.18 0
0.521,5.724810434939901 3.658031271649438 1.19 0
0.522,5.710744259623543 3.655968376429266 1.2 0
0.523,5.696440565280502 3.65389783087482 1.21 0
0.524,5.681905655037678 3.651819622464408 1.22 0
0.525,5.667146067754358 3.64973373868844 1.23 0
0.526,5.652168571581486 3.647640167049447 1.24 0
0.527,5.636980157294619 3.645538895062099 1.25 0
0.528,5.621588031407187 3.643429910253227 1.26 0
0.529,5.605999609070817 3.641313200161839 1.27 0
0.53,5.590222506769752 3.639188752339146 1.28 0
0.531,5.574264534816573 3.637056554348576 1.29 0
0.532,5.558133689656608 3.634916593765795 1.3 0
0.533,5.541838145988654 3.632768858178729 1.31 0
0.534,5.525386248709765 3.630613335187578 1.32 0
0.535,5.508786504692059 3.628450012404846 1.33 0
